MCC,Description,Required Abbreviation (Payment Brand) M,Required Abbreviation (Payment Brand) V,Valid Payment Brand(s)
3016,Scandinavian Airline System (SAS),SAS,SAS,"V, M"
3017,South African Airways,SAFRICAN,SAA AIRWAYS,"V, M"
3018,Varig,VARIG,VARIG,"V, M"
3019,Germanwings,GRMNWNGSAIR,GRMNWNGSAIR,TSYS
3020,Air India,AIR-INDI,AIR-INDIA,"V, M"
3021,Air Algerie,AIRALGER,AIR ALGERIE,"V, M"
3022,Philippine Airlines,PAL AIR,PAL AIR,"V, M"
3023,Mexicana,MEXICANA,MEXICANA,"V, M"
3024,Pakistan International,PAKISTAN,PAKISTAN AIR,"V, M"
3025,Air New Zealand Ltd. International,AIR NZ,AIR NZ,"V, M"
3026,Emirates Airlines,EMIRATES,EMIRATES,"V, M"
3027,Union De Transports Aeriens (UTA/interair),UTAAIR,UTA AIRLINE,"V, M"
3028,Air Malta,AIRMALTA,AIR MALTA,"V, M"
3029,SN Brussels Airlines,SNBRU AIR,SNBRSSLSAIR,"V, M"
3030,Aerolineas Argentinas,AERO ARG,AERO ARGENT,"V, M"
3031,Olympic Airways,OLYMPICA,OLYMPIC AIR,"V, M"
3032,El Al,EL AL,EL AL,"V, M"
3033,Ansett Airlines,ANSETT,ANSETT AIR,"V, M"
3034,Etihadair,ETIHADAIR,ETIHADAIR,"V, M"
3035,TAP Air Portugal (TAP),TAP,TAP AIR,"V, M"
3036,Viacao Aerea Sao Pãulo (VASP),VASP,VASP AIR,"V, M"
3037,Egyptair,EGYPTAIR,EGYPTAIR,"V, M"
3038,Kuwait Airways,KUWAIT,KUWAIT AIR,"V, M"
3039,Avianca,AVIANCA,AVIANCA,"V, M"
3040,Gulf Air (Bahrain),GULF AIR,GULF AIR,"V, M"
3041,Balkan-Bulgarian Airlines,BALKAN,BALKAN AIR,"V, M"
3042,Finnair,FINNAIR,FINNAIR,"V, M"
3043,Aer Lingus,AERLING,AER LINGUS,"V, M"
3044,Air Lanka,AIR LANKA,AIR LANKA,"V, M"
3045,Nigeria Airways,NIGERIA,NIGERIA AIR,"V, M"
3046,Cruzeiro Do Sul,CRUZIERO,CRUZIERO AIR,"V, M"
3047,Turk Hava Yollari,THY,THY AIRLINE,"V, M"
3048,Royal Air Maroc,AIRMARO,AIR MAROC,"V, M"
3049,Tunis Air,TUNIS AI,TUNIS AIR,"V, M"
3050,Icelandair,ICELANDA,ICELANDAIR,"V, M"
3051,Austrian Airlines,AUSTRIAN,AUSTRIAN AIR,"V, M"
3052,LAN Airlines,LAN AIR,LAN AIR,"V, M"
3053,Aviacion Y Comercio (AVIACO),AVIACO,AVIACO AIR,"V, M"
3054,Linea Aerea Del Cobre (LADECO),LADECO,LADECO AIR,"V, M"
3055,Lloyd Aero Boliviano (LAB),LAB,LAB AIR,"V, M"
3056,Jet Airways,JET AIR,JET AIR,"V, M"
3057,Virgin America,VIR AMER,VIR AMER,"V, M"
3058,Delta,DELTA,DELTA AIR,"V, M"
3059,DBA Airline,DBA AIR,DBA AIR,"V, M"
3060,Northwest Airlines,NWA AIR,NWA AIR,"V, M"
3061,Continental,CONTINEN,CONTINENTAL,"V, M"
3062,Hapag-Lloyd Express,HLX,HLX AIR,"V, M"
3063,US Airways,USAIRWYS,USAIRWAYS,"V, M"
3064,Adria Airways,ADRIA AIR,ADRIA AIR,"V, M"
3065,Airinter,AIRINTER,AIRINTER,"V, M"
3066,Southwest Airlines,SOUTHWES,SOUTHWESTAIR,"V, M"
3067,Vanguard Airlines,VANGUARD,VANGUARD AIR,"V, M"
3068,Air Astana,AIRSTANA,AIR ASTANA,"V, M"
3069,Sun Country Airlines,SUNCNTRY,SUNCTRYAIR,"V, M"
3071,Air British Columbia,AIR B R C,AIR BC,"V, M"
3072,Cebu Pacific Airlines,CEBU PAC,CEBU PAC,"V, M"
3075,Singapore Airlines,SINGAPOR,SINGAPOREAIR,"V, M"
3076,Aeromexico,AEROMEXI,AEROMEXICO,"V, M"
3077,Thai Airways,THAIAIRW,THAI AIRWAYS,"V, M"
3078,China Airlines,CHINAAIR,CHINA AIR,"V, M"
3079,Jetstar Airways,JETSTAR,JETSTAR AIR,"V, M"
3081,NordAir,,,TSYS
3082,Korean Airlines,KOREAN,KOREAN AIR,"V, M"
3083,Air Afrique,AIR AFRIQ,AIR AFRIQUE,"V, M"
3084,Eva Airways,EVA AIR,EVA AIR,"V, M"
3085,Midwest Express Airlines,MIDWEST,MIDWEST EXP,"V, M"
3086,Carnival Airlines,CARNIVAL AIR,CARNIVAL AIR,V
3087,Metro Airlines,METROAI,METRO AIR,"V, M"
3088,Croatia Air,CROATIA,CROATIA AIR,"V, M"
3089,Transaero,TRANSAERO,TRANSAERO,"V, M"
3090,Uni Airways Corporation,UNIAIR,UNIAIR,"V, M"
3094,Zambia Airways,ZAMBIA A,ZAMBIA AIR,"V, M"
3096,Air Zimbabwe Corp,AIRZIMBA,AIR ZIMBABWE,"V, M"
3097,Spanair,SPANAIR,SPANAIR,"V, M"
3098,Asiana Airlines,ASIANA,ASIANA AIR,"V, M"
3099,Cathay Pacific,CATHAYPA,CATHAYPACAIR,"V, M"
3100,Malaysian Airline System,MALAY AI,MALAY AIR,"V, M"
3102,Iberia,IBERIA,IBERIA AIR,"V, M"
3103,Garuda,GARUDA,GARUDA AIR,"V, M"
3106,Braathens S.A.F.E.,BRAATHEN,BRAATHENS,"V, M"
3110,Wings Airways,WINGS AIR,WINGS AIR,V
3111,British Midland,BRITISH,BRMIDLANDAIR,"V, M"
3112,Windward Island,WINDWARD,WINDWRDISAIR,"V, M"
3115,Tower Air,TOWERAIR,TOWERAIR,"V, M"
3117,Venezolana International De Aviacion,VIASA,VIASA,"V, M"
3118,Valley Airlines,VALLEY AIR,VALLEY AIR,"V, M"
3125,Tan Sahsa,TAN AIR,TAN AIR,"V, M"
3126,Talair PTY Ltd.,TALAIR,TALAIR,V
3127,Taca International,TACA INT,TACAINTL AIR,"V, M"
3129,Surinam Airways,SURINA,SURINAM AIR,"V, M"
3130,Sunworld International,SUNWORLD,SUNWORLD AIR,"V, M"
3131,VLM Airlines,VL,VLM AIR,"V, M"
3132,Frontier Airlines,FRONTIER,FRONTIER AIR,"V, M"
3133,Sunbelt Airlines,SUNBELT AIR,SUNBELT AIR,V
3135,Sudan Airways,SUDAN AIR,SUDAN AIR,V
3136,Qatar Airways,QATAR AIR,QATAR AIR,"V, M"
3137,Singleton,SINGLETONAIR,SINGLETONAIR,V
3138,Simmons Airlines,SIMMONS AIR,SIMMONS AIR,V
3143,Scenic Airlines,SCENIC AIR,SCENIC AIR,V
3144,Virgin Atlantic,VIR ATL,VIRGINATLAIR,"V, M"
3145,San Juan,SAN JUAN AIR,SAN JUAN AIR,V
3146,Luxair,LUXAIR,LUXAIR,"V, M"
3148,Air Littoral S.A.,LITTORAL,AIRLITTORAL,"V, M"
3151,Air Zaire,AIRZAIRE,AIR ZAIRE,"V, M"
3154,Princeville,PRINCVLLEAIR,PRINCVLLEAIR,V
3156,Go Fly Ltd.,GOFLY,GOFLY,"V, M"
3159,Provincetown-Boston Airways,PBA,PBA AIRLINE,"V, M"
3161,All Nipon Airways,ANAAIR,ANA AIR,"V, M"
3164,Norontair,NORONTAI,NORONTAIR,"V, M"
3165,New York Helicopter,NY HELI,NY HELI,V
3167,Aero Continente,AERO CONT,AEROCONTINEN,"V, M"
3170,Mount Cook,MT COOK AIR,MT COOK AIR,V
3171,Canadian Airlines International,CANADIAN,CANADIAN AIR,"V, M"
3172,Nationair,NATIONAI,NATIONAIR,"V, M"
3174,Jetblue Airways,JETBLUE,JETBLUE,"V, M"
3175,Middle East Air,MIDEASTA,MIDEAST AIR,"V, M"
3176,Metroflight Airlines,METROFLT AIR,METROFLT AIR,V
3177,AirTran Airways,AIRTRAN A,AIRTRANAIR,"V, M"
3178,Mesa Air,MESA AIR,MESA AIR,"V, M"
3180,Westjet Airlines,WESTJET,WESTJETAIR,"V, M"
3181,Malev,MALEV,MALEV AIR,"V, M"
3182,LOT (Polish Airlines),LOT,LOT AIR,"V, M"
3183,Oman Air,OMAN AIR,OMANAIR,"V, M"
3184,LIAT,LIAT,LIAT AIRLINE,"V, M"
3185,Linea Aeropostal Venezolana (LAV),LAV,LAV AIR,"V, M"
3186,Lineas Aereas Paraguayas (LAP),LAP,LAP AIR,"V, M"
3187,LACSA (Costa Rica),LACSA,LACSA AIR,"V, M"
3188,Virgin Express,VIR EXP,VIRGINEXPAIR,"V, M"
3190,Jugoslav Air,JUGOSLAV,JUGOSLAV AIR,"V, M"
3191,Island Airlines,ISLANDAI,ISLAND AIR,"V, M"
3193,Indian Airlines,INDIAN A,INDIAN AIR,"V, M"
3196,Hawaiian Air,HAWAIIAN,HAWAIIAN AIR,"V, M"
3197,Havasu Airlines,HAVASUAI,HAVASU AIR,"V, M"
3200,Guyana Airways,GUYANA A,GUYANA AIR,"V, M"
3203,Golden Pacific Air,GOLDPAC AIR,GOLDPAC AIR,V
3204,Freedom Airlines,FREEDO,FREEDOM AIR,"V, M"
3206,China Eastern Airlines,CHINAEAST,CHINAEASTAIR,"V, M"
3211,Norwegian Air Shuttle,NORWEGIAN,NORWEGIANAIR,"V, M"
3212,Dominicana De Aviacion,DOMINICA,DOMINICA AIR,"V, M"
3213,Malmo Aviation,MALMO AV,MALMO AIR,"V, M"
3215,Dan Air Services,DANAIRSER,DANAIRSER,V
3216,Cumberland Airlines,CUMBERLNDAIR,CUMBERLNDAIR,V
3217,Ceskoslovenske Aerolinie (CSA),CSA,CSA AIRLINE,"V, M"
3218,Crown Air,CROWN AIR,CROWN AIR,V
3219,Compania Panamena De Aviacion (COPA),COPA,COPA AIR,"V, M"
3220,Compania Faucett,COMPANIA,COMP FAU AIR,"V, M"
3221,Transportes Aeros Militares,TAME AIR,TAME AIRLINE,"V, M"
3222,Command Airways,COMMAND,COMMAND AIR,"V, M"
3223,Comair,COMAIR,COMAIR,"V, M"
3226,Skyways,SKYWAYS,SKYWAYS AIR,"V, M"
3228,Cayman Airways,CAYMANAIR,CAYMANAIR,"V, M"
3229,SAETA (Sociedad Ecuatorianos De Transportes Aereos),SAETAAIR,SAETA AIR,"V, M"
3231,SAHSA (Servicio Aero De Honduras),SAHSA,SAHSA AIR,"V, M"
3233,Capitol Air,CAPITOL AIR,CAPITOL AIR,V
3234,Caribbean Airlines,CARIBBEAN,CARIBBEANAIR,"V, M"
3235,Brockway Air,BROCKWAY AIR,BROCKWAY AIR,V
3236,Air Arabia Airline,AIR ARAB,AIR ARABIA,"V, M"
3238,Bemidji Aviation,BEMIDJI AIR,BEMIDJI AIR,V
3239,Bar Harbor Airlines,BARHARBO,BARHARBORAIR,"V, M"
3240,Bahamasair,BAHAMASA,BAHAMASAIR,"V, M"
3241,Aviateca,AVIATECA,AVIATECA AIR,"V, M"
3242,Avensa,AVENSA,AVENSA AIR,"V, M"
3243,Austrian Air Service,AUSTRAIR,AUST AIRSER,"V, M"
3245,Easyjet Air,EASYJET,EASYJET AIR,"V, M"
3246,Ryanair,RYANAIR,RYANAIR,"V, M"
3247,Gol Airlines,GOL,GOL AIR,"V, M"
3248,Tam Airlines,TA,TAM AIR,"V, M"
3251,Aloha Airlines,ALOHA AIR,ALOHA AIR,V
3252,Antilean Airlines (ALM),AL,ALM AIRLINE,"V, M"
3253,America West,AMERWEST,AMERWEST,M
3254,U.S. Air Shuttle,USAIRSHUTL,USAIRSHUTL,V
3256,Alaska Airlines Inc.,ALASKA A,ALASKA AIR,"V, M"
3259,American Trans Air,ATA AIR,ATA AIR,V
3260,Spirit Airlines,SPIRIT,SPIRIT AIR,"V, M"
3261,Air China,AIR CHINA,AIR CHINA,"V, M"
3262,Reno Air,RENO AIR,RENO AIR,V
3263,Aero Servicio Carabobo,ASERCA,ASC AIRLINE,"V, M"
3266,Air Seychelles,AIR SEYC,AIR SEYCH,"V, M"
3267,Air Panama International,AIR PANA,AIR PANAMA,"V, M"
3273,Rica Hotels,,,TSYS
3274,Inter Nor Hotels,,,TSYS
3280,Air Jamaica,AIR JAMA,AIR JAMAICA,"V, M"
3281,Air Djibouti,,,TSYS
3282,Air Djibouti,AIR DJIB,AIR DJIBOUTI,"V, M"
3284,Aero Virgin Islands,AERVIRGINIS,AERVIRGINIS,V
3285,Aero Peru,AEROPERU,AEROPERU,"V, M"
3286,Aero Nicaraguensis,AERO NIC,AERONICARAG,"V, M"
3287,Aero Coach Aviation,AEROCOAC,AEROCOACH A,"V, M"
3292,Cyprus Airways,CYPRUSA,CYPRUS AIR,"V, M"
3293,Ecuatoriana,ECUATORI,ECUATORIANA,"V, M"
3294,Ethiopian Airlines,ETHIOPIA,ETHIOPIAN AIR,"V, M"
3295,Kenya Airways,KENYAAIR,KENYA AIR,"V, M"
3296,Air Berlin,AIRBERLIN,AIR BERLIN,"V, M"
3297,Tarom Romanian Air Transport,TAROM AIR,TAROM AIR,"V, M"
3298,Air Mauritius,AIRMAURI,AIRMAURITIUS,"V, M"
3299,Wideroes Flyveselskap,WIDEROES,WIDEROES,"V, M"
3351,Affiliated Auto Rental,,,"V, M"
3352,American International,,,"V, M"
3353,Brooks Rent-A-Car,,,"V, M"
3354,Action Auto Rental,,,"V, M"
3355,Sixt Car Rental,,,"V, M"
3357,Hertz,,,"V, M"
3359,Payless Car Rental,,,"V, M"
3360,Snappy Car Rental,,,"V, M"
3361,Airways,,,"V, M"
3362,Altra Auto Rental,,,"V, M"
3364,Agency Rent-A-Car,,,"V, M"
3366,Budget Rent-A-Car,,,"V, M"
3368,Holiday Rent-A-Car,,,"V, M"
3370,Rent-A-Wreck,,,"V, M"
3374,Accent Rent-A-Car,,,"V, M"
3376,Ajax Rent-A-Car,,,"V, M"
3380,Triangle Rent-A-Car,,,"V, M"
3381,Europcar,,,"V, M"
3385,Tropical Rent-A-Car,,,"V, M"
3386,Showcase Rental Cars,,,"V, M"
3387,Alamo Rent-A-Car,,,"V, M"
3388,Merchants Rent-A-Car,,,"V, M"
3389,Avis Rent-A-Car,,,"V, M"
3390,Dollar Rent-A-Car,,,"V, M"
3391,Europe By Car,,,"V, M"
3393,National Car Rental,,,"V, M"
3394,Kemwell Group,,,"V, M"
3395,Thrifty Car Rental,,,"V, M"
3396,Tilden Rent-A-Car,,,"V, M"
3398,Econo-Car Rent-A-Car,,,"V, M"
3400,Auto Host Rental Cars,,,"V, M"
3405,Enterprise Rent-A-Car,,,"V, M"
3409,General Rent-A-Car,,,"V, M"
3412,A1 Rent-A-Car,,,"V, M"
3414,Godfrey National,,,V
3420,Ansa International,,,"V, M"
3421,Allstate,,,"V, M"
3423,AVCAR,,,"V, M"
3425,Automate,,,"V, M"
3427,Avon Rent-A-Car,,,"V, M"
3428,Carey,,,"V, M"
3429,Insurance Rent-A-Car,,,"V, M"
3430,Major Rent-A-Car,,,"V, M"
3431,Replacement Rent-A-Car,,,"V, M"
3432,Reserve Rent-A-Car,,,"V, M"
3433,Ugly Duckling Rent-A-Car,,,"V, M"
3434,USA,,,"V, M"
3435,Value Rent-A-Car,,,"V, M"
3436,Autohansa,,,"V, M"
3437,Cite,,,V
3438,Interent,,,"V, M"
3439,Milleville,,,"V, M"
3441,Advantage Rent A Car,,,"V, M"
3501,Holiday Inns,,,"V, M"
3502,Best Western,,,"V, M"
3503,Sheraton,,,"V, M"
3504,Hilton,,,"V, M"
3505,Trusthouse Forte,,,"V, M"
3506,Golden Tulip,,,"V, M"
3507,Friendship Inns International,,,"V, M"
3508,Quality International,,,"V, M"
3509,Marriott,,,"V, M"
3510,Days Inns Of America,,,"V, M"
3511,Arabella Hotels,,,"V, M"
3512,Intercontinental,,,"V, M"
3513,Westin Hotels,,,"V, M"
3514,Amerisuites,,,"V, M"
3515,Rodeway Inns International,,,"V, M"
3516,La Quinta Motor Inns,,,"V, M"
3517,Americana Hotels Corporation,,,"V, M"
3518,Sol Hotels,,,"V, M"
3519,PLM/ETAP International,,,"V, M"
3520,Meridien,,,"V, M"
3521,Crest Hotels,,,"V, M"
3522,Tokyo Group,,,"V, M"
3523,Peninsula Hotels,,,"V, M"
3524,Welcomgroup,,,"V, M"
3525,Dunfey Hotels,,,"V, M"
3526,Prince Hotels,,,"V, M"
3527,Downtowner Passport,,,"V, M"
3528,Thunderbird/Red Lion,,,"V, M"
3529,CP (Canadian Pacific),,,"V, M"
3530,Renaissance Hotels,,,"V, M"
3531,Kauai Coconut Beach Resort,,,"V, M"
3532,Royal Kona Resort,,,"V, M"
3533,Park Inn by Radisson,,,"V, M"
3534,Southern Pacific Hotel,,,"V, M"
3535,Hilton International,,,"V, M"
3536,AMFAC Hotels,,,"V, M"
3537,Ana Hotels,,,"V, M"
3538,Concorde Hotels,,,"V, M"
3539,Summerfield Suites Hotel,,,"V, M"
3540,Iberotel,,,"V, M"
3541,Hotel Okura,,,"V, M"
3542,Royal Hotels,,,"V, M"
3543,Four Seasons,,,"V, M"
3544,Cigahotels,,,"V, M"
3545,Shangri-La International,,,"V, M"
3546,Hotel Sierra,,,"V, M"
3547,Breakers Resort,,,M
3548,Hotels Melia,,,"V, M"
3549,Auberge Des Governeurs,,,"V, M"
3550,Regal 8 Inns,,,"V, M"
3551,Mirage Hotel and Casino,,,"V, M"
3552,Coast Hotels,,,"V, M"
3553,Parks Inns International,,,"V, M"
3554,Pinehurst Resort,,,"V, M"
3555,Treasure Island Hotel and Casino,,,"V, M"
3556,Barton Creek Resort,,,"V, M"
3557,Manhattan East Suite Hotels,,,"V, M"
3558,Jolly Hotels,,,"V, M"
3559,Candlewood Suites,,,"V, M"
3560,Aladdin Resort and Casino,,,"V, M"
3561,Golden Nugget,,,"V, M"
3562,Comfort Hotel International,,,"V, M"
3563,Journeys End Motels,,,"V, M"
3564,Sams Town Hotel and Casino,,,"V, M"
3565,Relax Inns,,,"V, M"
3566,Garden Place Hotel,,,"V, M"
3567,Soho Grand Hotel,,,"V, M"
3568,Ladbroke Hotels,,,"V, M"
3569,Tribeca Grand Hotel,,,"V, M"
3570,Grand Met Forum Hotels,,,"V, M"
3571,Grand Wailea Resort,,,"V, M"
3572,Miyako Hotel/Kintetsu,,,"V, M"
3573,Sandman Hotels,,,"V, M"
3574,Venture Inn,,,"V, M"
3575,Vagabond Hotels,,,"V, M"
3576,La Quinta Resort,,,"V, M"
3577,Mandarin International,,,"V, M"
3578,Frankenmuth Bavarian,,,"V, M"
3579,Hotel Mercure,,,"V, M"
3580,Hotel Del Coronado,,,"V, M"
3581,Delta Hotels,,,"V, M"
3582,California Hotel and Casino,,,"V, M"
3583,Radisson BLU,,,"V, M"
3584,Princess Hotels International,,,"V, M"
3585,Hungar Hotels,,,"V, M"
3586,Sokos Hotel,,,"V, M"
3587,Doral Hotels,,,"V, M"
3588,Helmsley Hotels,,,"V, M"
3589,Doral Golf Resort,,,"V, M"
3590,Fairmont Hotels Corporation,,,"V, M"
3591,Sonesta International Hotels,,,"V, M"
3592,Omni International,,,"V, M"
3593,Cunard Hotels,,,"V, M"
3594,Arizona Biltmore,,,"V, M"
3595,Hospitality Inns,,,"V, M"
3596,Wynn Las Vegas,,,"V, M"
3597,Riverside Resort and Casino,,,"V, M"
3598,Regent Hotels,,,"V, M"
3599,Pannonia Hotels,,,"V, M"
3600,Saddlebrook Resort–Tampa,,,"V, M"
3601,Tradewinds Resort,,,"V, M"
3602,Hudson Hotel,,,"V, M"
3603,Noahs Hotel (Melbourne),,,"V, M"
3604,Hilton Garden Inn,,,"V, M"
3605,Jurys Doyle Hotel Group,,,M
3606,Jefferson Hotel,,,M
3607,Fontainebleau Resort,,,"V, M"
3608,Gaylord Opryland,,,"V, M"
3609,Gaylord Palms,,,"V, M"
3610,Gaylord Texan,,,M
3611,C MON INN,,,M
3612,Moevenpick,,,"V, M"
3613,Microtel Inn and Suites,,,"V, M"
3614,AmericInn,,,"V, M"
3615,Travelodge Motels,,,"V, M"
3616,Hermitage Hotels,,,M
3617,America’s Best Value Inn,,,"V, M"
3618,Great Wolf,,,"V, M"
3619,Aloft,,,"V, M"
3620,Binions Horseshoe Club,,,"V, M"
3621,Extended Stay,,,"V, M"
3622,Merlin Hotel (Perth),,,"V, M"
3623,Dorint Hotels,,,"V, M"
3624,Lady Luck Hotel and Casino,,,"V, M"
3625,Hotel Universal,,,"V, M"
3626,Studio Plus,,,"V, M"
3627,Extended Stay America,,,"V, M"
3628,Excalibur Hotel and Casino,,,"V, M"
3629,Dan Hotels,,,"V, M"
3630,Extended Stay Deluxe,,,"V, M"
3631,Sleep Inn,,,"V, M"
3632,The Phoenician,,,"V, M"
3633,Rank Hotels,,,"V, M"
3634,Swissotel,,,"V, M"
3635,Reso Hotels,,,"V, M"
3636,Sarova Hotels,,,"V, M"
3637,Ramada Inns,,,"V, M"
3638,Howard Johnson,,,"V, M"
3639,Mount Charlotte Hotels,,,"V, M"
3640,Hyatt Hotels/International,,,"V, M"
3641,Sofitel Hotels,,,"V, M"
3642,Novotel Sieh (Accor),,,"V, M"
3643,Steigenberger,,,"V, M"
3644,Econo-Travel Motor Hotel,,,"V, M"
3645,Queens Moat Houses,,,"V, M"
3646,Swallow Hotels,,,"V, M"
3647,Grupo Hotels HUSA SA,,,"V, M"
3648,De Vere Hotels,,,"V, M"
3649,Radisson,,,"V, M"
3650,Red Roof Inns,,,"V, M"
3651,Imperial London Hotels,,,"V, M"
3652,Embassy Hotels,,,"V, M"
3653,Penta Hotels,,,"V, M"
3654,Loews Hotels,,,"V, M"
3655,Scandic Hotels,,,"V, M"
3656,Sara Hotels,,,"V, M"
3657,Oberoi Hotels,,,"V, M"
3658,New Otani Hotels,,,"V, M"
3659,Taj Hotels Intl,,,"V, M"
3660,Knights Inn,,,"V, M"
3661,Metropole Hotels,,,"V, M"
3662,Circus Circus Hotel and Casino,,,"V, M"
3663,Hoteles El Presidente,,,"V, M"
3664,Flag Inns,,,"V, M"
3665,Hampton Inns,,,"V, M"
3666,Stakis Hotels,,,"V, M"
3667,Luxor Hotel and Casino,,,"V, M"
3668,Maritim,,,"V, M"
3669,Eldorado Hotel and Casino,,,"V, M"
3670,Arcade,,,"V, M"
3671,Arctia,,,"V, M"
3672,Campanile,,,"V, M"
3673,Ibusz Hotels,,,"V, M"
3674,Rantasipi Hotels,,,"V, M"
3675,Interhotel Cedok,,,"V, M"
3676,Monte Carlo Hotel and Casino,,,"V, M"
3677,Climat De France,,,"V, M"
3678,Cumulus Hotels,,,"V, M"
3679,Silver Legacy Hotel and Casino,,,"V, M"
3680,Hoteis Othan,,,"V, M"
3681,Adams Mark,,,"V, M"
3682,Sahara Hotel and Casino,,,"V, M"
3683,Bradbury Suites,,,"V, M"
3684,Budget Host Inns,,,"V, M"
3685,Budgetel,,,"V, M"
3686,Suisse Chalet,,,"V, M"
3687,Clarion Hotel,,,"V, M"
3688,Compri Hotel,,,"V, M"
3689,Consort,,,"V, M"
3690,Courtyard by Marriott,,,"V, M"
3691,Dillon Inn,,,"V, M"
3692,Doubletree,,,"V, M"
3693,Drury Inn,,,"V, M"
3694,Economy Inns Of America,,,"V, M"
3695,Embassy Suites,,,"V, M"
3696,Excel Inn,,,"V, M"
3697,Fairfield Hotel,,,"V, M"
3698,Harley Hotel,,,"V, M"
3699,Midway Motor Lodge,,,"V, M"
3700,Motel 6,,,"V, M"
3701,La Mansion Del Rio,,,"V, M"
3702,Registry Hotels,,,"V, M"
3703,Residence Inn,,,"V, M"
3704,Royce Hotel,,,"V, M"
3705,Sandman Inn,,,"V, M"
3706,Shilo Inn,,,"V, M"
3707,Shoneys Inn,,,"V, M"
3708,Virgin River Hotel and Casino,,,"V, M"
3709,Super 8 Motel,,,"V, M"
3710,Ritz-Carlton,,,"V, M"
3711,Flag Inns (Australia),,,"V, M"
3712,Buffalo Bills Hotel and Casino,,,"V, M"
3713,Quality Pacific Hotel,,,"V, M"
3714,Four Seasons (Australia),,,"V, M"
3715,Fairfield Inn,,,"V, M"
3716,Carlton Hotels,,,"V, M"
3717,City Lodge Hotels,,,"V, M"
3718,Karos Hotels,,,"V, M"
3719,Protea Hotels,,,"V, M"
3720,Southern Sun Hotels,,,"V, M"
3721,Conrad Hotels,,,"V, M"
3722,Wyndham,,,"V, M"
3723,Rica Hotels,,,"V, M"
3724,Inter Nor Hotels,,,"V, M"
3725,Sea Pines Resort,,,"V, M"
3726,Rio Suites,,,"V, M"
3727,Broadmoor Hotel,,,"V, M"
3728,Ballys Hotel and Casino,,,"V, M"
3729,John Ascuagas Nugget,,,"V, M"
3730,MGM Grand Hotel,,,"V, M"
3731,Harrah’s Hotels and Casinos,,,"V, M"
3732,Opryland Hotel,,,"V, M"
3733,Boca Raton Resort,,,M
3734,Harvey Bristol Hotels,,,"V, M"
3735,Masters Economy Inns,,,"V, M"
3736,Colorado Belle Edgewater Resort,,,"V, M"
3737,Riviera Hotel and Casino,,,"V, M"
3738,Tropicana Resort and Casino,,,"V, M"
3739,Woodside Hotels and Resorts,,,"V, M"
3740,Towneplace Suites,,,"V, M"
3741,Millennium Broadway Hotel,,,"V, M"
3742,Club Med,,,"V, M"
3743,Biltmore Hotel and Suites,,,"V, M"
3744,Carefree Resorts,,,"V, M"
3745,St. Regis Hotel,,,"V, M"
3746,The Eliot Hotel,,,"V, M"
3747,Club Corporation/Club Resorts,,,"V, M"
3748,Wellesley Inns,,,"V, M"
3749,Beverly Hills Hotel,,,"V, M"
3750,Crowne Plaza Hotels,,,"V, M"
3751,Homewood Suites,,,"V, M"
3752,Peabody Hotels,,,"V, M"
3753,Greenbriar Resorts,,,"V, M"
3754,Amelia Island Plantation,,,"V, M"
3755,Homestead,,,"V, M"
3757,Canyon Ranch,,,TSYS
3758,Kahala Mandarin Oriental Hotel,,,"V, M"
3759,Orchid At Mauna Lai,,,"V, M"
